instancia,algoritmo,costo,tiempo,iteraciones,rcl_size
./instances/gap/gap_a/a05100,cercano,1709,3.0917e-05,100,3
./instances/gap/gap_a/a05100,demanda,1734,2.8916e-05,100,3
./instances/gap/gap_a/a05100,cercano_relocate,1709,0.00014325,100,3
./instances/gap/gap_a/a05100,demanda_relocate,1734,0.00011825,100,3
./instances/gap/gap_a/a05100,cercano_swap,1700,0.00022525,100,3
./instances/gap/gap_a/a05100,demanda_swap,1719,0.00022175,100,3
./instances/gap/gap_a/a05100,grasp,1707,0.0404163,50,2
./instances/gap/gap_a/a05100,grasp,1707,0.034829,50,3
./instances/gap/gap_a/a05100,grasp,1709,0.0358512,50,5
./instances/gap/gap_a/a05100,grasp,1706,0.0552735,100,2
./instances/gap/gap_a/a05100,grasp,1706,0.0629623,100,3
./instances/gap/gap_a/a05100,grasp,1708,0.0712291,100,5
./instances/gap/gap_a/a05100,grasp,1705,0.109168,200,2
./instances/gap/gap_a/a05100,grasp,1704,0.122628,200,3
./instances/gap/gap_a/a05100,grasp,1704,0.140931,200,5
./instances/gap/gap_a/a05200,cercano,3259,3.4917e-05,100,3
./instances/gap/gap_a/a05200,demanda,3319,6.1625e-05,100,3
./instances/gap/gap_a/a05200,cercano_relocate,3259,5.95e-05,100,3
./instances/gap/gap_a/a05200,demanda_relocate,3319,7.4958e-05,100,3
./instances/gap/gap_a/a05200,cercano_swap,3238,0.0008805,100,3
./instances/gap/gap_a/a05200,demanda_swap,3248,0.00151479,100,3
./instances/gap/gap_a/a05200,grasp,3235,0.0596567,50,2
./instances/gap/gap_a/a05200,grasp,3236,0.0719822,50,3
./instances/gap/gap_a/a05200,grasp,3235,0.0885831,50,5
./instances/gap/gap_a/a05200,grasp,3236,0.120659,100,2
./instances/gap/gap_a/a05200,grasp,3235,0.143375,100,3
./instances/gap/gap_a/a05200,grasp,3235,0.17386,100,5
./instances/gap/gap_a/a05200,grasp,3236,0.243134,200,2
./instances/gap/gap_a/a05200,grasp,3235,0.284815,200,3
./instances/gap/gap_a/a05200,grasp,3235,0.345978,200,5
./instances/gap/gap_a/a10100,cercano,1390,2.9583e-05,100,3
./instances/gap/gap_a/a10100,demanda,1410,4.9625e-05,100,3
./instances/gap/gap_a/a10100,cercano_relocate,1390,5.65e-05,100,3
./instances/gap/gap_a/a10100,demanda_relocate,1410,7.3333e-05,100,3
./instances/gap/gap_a/a10100,cercano_swap,1364,0.000130542,100,3
./instances/gap/gap_a/a10100,demanda_swap,1375,0.000274208,100,3
./instances/gap/gap_a/a10100,grasp,1365,0.0548478,50,2
./instances/gap/gap_a/a10100,grasp,1366,0.0606883,50,3
./instances/gap/gap_a/a10100,grasp,1368,0.0694213,50,5
./instances/gap/gap_a/a10100,grasp,1362,0.110498,100,2
./instances/gap/gap_a/a10100,grasp,1362,0.121084,100,3
./instances/gap/gap_a/a10100,grasp,1362,0.13819,100,5
./instances/gap/gap_a/a10100,grasp,1365,0.222687,200,2
./instances/gap/gap_a/a10100,grasp,1365,0.265503,200,3
./instances/gap/gap_a/a10100,grasp,1364,0.282783,200,5
./instances/gap/gap_a/a10200,cercano,2670,4.7542e-05,100,3
./instances/gap/gap_a/a10200,demanda,2673,6.8542e-05,100,3
./instances/gap/gap_a/a10200,cercano_relocate,2670,8.6917e-05,100,3
./instances/gap/gap_a/a10200,demanda_relocate,2673,0.000105166,100,3
./instances/gap/gap_a/a10200,cercano_swap,2634,0.00128896,100,3
./instances/gap/gap_a/a10200,demanda_swap,2636,0.000637375,100,3
./instances/gap/gap_a/a10200,grasp,2638,0.124162,50,2
./instances/gap/gap_a/a10200,grasp,2638,0.144485,50,3
./instances/gap/gap_a/a10200,grasp,2633,0.173527,50,5
./instances/gap/gap_a/a10200,grasp,2632,0.24212,100,2
./instances/gap/gap_a/a10200,grasp,2636,0.280624,100,3
./instances/gap/gap_a/a10200,grasp,2632,0.336707,100,5
./instances/gap/gap_a/a10200,grasp,2634,0.476699,200,2
./instances/gap/gap_a/a10200,grasp,2632,0.557109,200,3
./instances/gap/gap_a/a10200,grasp,2631,0.669983,200,5
./instances/gap/gap_a/a20100,cercano,1170,4.3583e-05,100,3
./instances/gap/gap_a/a20100,demanda,1167,5.8416e-05,100,3
./instances/gap/gap_a/a20100,cercano_relocate,1170,8.9333e-05,100,3
./instances/gap/gap_a/a20100,demanda_relocate,1167,9.0041e-05,100,3
./instances/gap/gap_a/a20100,cercano_swap,1168,0.000157166,100,3
./instances/gap/gap_a/a20100,demanda_swap,1164,0.000149625,100,3
./instances/gap/gap_a/a20100,grasp,1160,0.112904,50,2
./instances/gap/gap_a/a20100,grasp,1161,0.120472,50,3
./instances/gap/gap_a/a20100,grasp,1161,0.135915,50,5
./instances/gap/gap_a/a20100,grasp,1162,0.227356,100,2
./instances/gap/gap_a/a20100,grasp,1161,0.240725,100,3
./instances/gap/gap_a/a20100,grasp,1162,0.267322,100,5
./instances/gap/gap_a/a20100,grasp,1161,0.467015,200,2
./instances/gap/gap_a/a20100,grasp,1158,0.48207,200,3
./instances/gap/gap_a/a20100,grasp,1159,0.541571,200,5
./instances/gap/gap_a/a20200,cercano,2371,7.9625e-05,100,3
./instances/gap/gap_a/a20200,demanda,2360,9.4708e-05,100,3
./instances/gap/gap_a/a20200,cercano_relocate,2371,0.000130708,100,3
./instances/gap/gap_a/a20200,demanda_relocate,2360,0.000146084,100,3
./instances/gap/gap_a/a20200,cercano_swap,2353,0.000933667,100,3
./instances/gap/gap_a/a20200,demanda_swap,2350,0.001002,100,3
./instances/gap/gap_a/a20200,grasp,2345,0.239855,50,2
./instances/gap/gap_a/a20200,grasp,2343,0.273517,50,3
./instances/gap/gap_a/a20200,grasp,2345,0.33971,50,5
./instances/gap/gap_a/a20200,grasp,2343,0.46929,100,2
./instances/gap/gap_a/a20200,grasp,2343,0.53622,100,3
./instances/gap/gap_a/a20200,grasp,2344,0.626877,100,5
