instancia,algoritmo,costo,tiempo,iteraciones,rcl_size
./instances/real/real_instance,cercano,788.2,0.00365233,100,3
./instances/real/real_instance,demanda,854.6,0.00418175,100,3
./instances/real/real_instance,cercano_relocate,788.2,0.00537508,100,3
./instances/real/real_instance,demanda_relocate,854.6,0.00603138,100,3
./instances/real/real_instance,cercano_swap,729.3,0.449171,100,3
./instances/real/real_instance,demanda_swap,775.8,0.685091,100,3
./instances/real/real_instance,grasp,806.9,32.1756,50,2
./instances/real/real_instance,grasp,801.2,43.9824,50,3
./instances/real/real_instance,grasp,786.6,96.8309,50,5
./instances/real/real_instance,grasp,806.6,63.7963,100,2
./instances/real/real_instance,grasp,796.5,86.7563,100,3
./instances/real/real_instance,grasp,792.1,122.915,100,5
./instances/real/real_instance,grasp,800.8,127.304,200,2
./instances/real/real_instance,grasp,806.8,173.901,200,3
./instances/real/real_instance,grasp,792.3,248.325,200,5
